application,configured_copies,probe_id,phase,repetition,requested_tx_mpps,tx_cap_mpps,rate_capped,measured_tx_mpps,measured_rx_mpps,expected_rx_mpps,delivered_input_equiv_mpps,fanout_multiplier,delivery_ratio,success
inline-xdp-clone,32,190,confirm,1,0.125,0.9090909090909091,False,0.125429,4.13924775,4.139157000000001,0.12543175,33.0,1.0000219247542432,True
inline-xdp-clone,32,191,confirm,2,0.125,0.9090909090909091,False,0.1254455,4.1397015,4.139701499999999,0.12544550000000002,33.0,1.0000000000000002,True
inline-xdp-clone,32,192,confirm,3,0.125,0.9090909090909091,False,0.125428,4.139124,4.139124000000001,0.12542799999999998,33.0,0.9999999999999998,True
inline-xdp-clone,64,1,search,0,0.25,0.46153846153846156,False,0.2509225,3.83492825,16.3099625,0.05899889615384615,65.0,0.23512796243400313,False
inline-xdp-clone,64,2,search,0,0.125,0.46153846153846156,False,0.12540125,3.84104,8.151081249999999,0.05909292307692308,65.0,0.4712307339593751,False
inline-xdp-clone,64,3,search,0,0.0625,0.46153846153846156,False,0.06275125,3.844128,4.0788312499999995,0.05914043076923077,65.0,0.9424582103022773,False
inline-xdp-clone,64,4,search,0,0.03125,0.46153846153846156,False,0.03136,2.03838375,2.0383999999999998,0.03135975,65.0,0.9999920280612246,True
inline-xdp-clone,64,5,search,0,0.046875,0.46153846153846156,False,0.04711175,3.06207175,3.06226375,0.04710879615384615,65.0,0.9999373012856909,True
inline-xdp-clone,64,198,confirm,1,0.046875,0.46153846153846156,False,0.04712575,3.063109,3.0631737500000003,0.04712475384615385,65.0,0.9999788617932625,True
inline-xdp-clone,64,199,confirm,2,0.046875,0.46153846153846156,False,0.04709825,3.0614345,3.06138625,0.04709899230769231,65.0,1.0000157608338378,True
inline-xdp-clone,64,200,confirm,3,0.046875,0.46153846153846156,False,0.0470815,3.0603275,3.0602975,0.04708196153846154,65.0,1.0000098029685023,True
